#CentralWav (um) 	 MinWav 	 MaxWav 	 u1 	 u2
1.4111013412 	 1.4108680487 	 1.4113346337 	 0.0993397500 	 0.3201523600
1.4106347561 	 1.4104014039 	 1.4108681083 	 0.0994538000 	 0.3203227400
1.4101680517 	 1.4099347591 	 1.4104013442 	 0.0995676500 	 0.3204928200
1.4097014666 	 1.4094681740 	 1.4099347592 	 0.0996812600 	 0.3206625400
1.4092348814 	 1.4090015292 	 1.4094682336 	 0.0997946200 	 0.3208319000
1.4087681770 	 1.4085348845 	 1.4090014695 	 0.0999077600 	 0.3210009200
1.4083015919 	 1.4080682397 	 1.4085349441 	 0.1000206700 	 0.3211696000
1.4078348875 	 1.4076015949 	 1.4080681801 	 0.1001334100 	 0.3213380100
1.4073683023 	 1.4071349502 	 1.4076016545 	 0.1002639800 	 0.3213465200
1.4069015980 	 1.4066683054 	 1.4071348906 	 0.1004177800 	 0.3211505000
1.4064350128 	 1.4062017202 	 1.4066683053 	 0.1005767600 	 0.3209097300
1.4059684277 	 1.4057350755 	 1.4062017799 	 0.1007359300 	 0.3206686800
1.4055017233 	 1.4052684307 	 1.4057350159 	 0.1008952800 	 0.3204273500
1.4050351381 	 1.4048018455 	 1.4052684306 	 0.1010547100 	 0.3201858900
1.4045685530 	 1.4043352008 	 1.4048019052 	 0.1012142900 	 0.3199442100
1.4041018486 	 1.4038685560 	 1.4043351412 	 0.1013740900 	 0.3197022000
1.4036352634 	 1.4034019113 	 1.4038686155 	 0.1015340100 	 0.3194600000
1.4031685591 	 1.4029352665 	 1.4034018517 	 0.1016941000 	 0.3192175400
1.4027019739 	 1.4024686814 	 1.4029352665 	 0.1018490000 	 0.3189870700
1.4022353888 	 1.4020020366 	 1.4024687410 	 0.1019252400 	 0.3189369200
1.4017686844 	 1.4015353918 	 1.4020019770 	 0.1019276900 	 0.3190557700
1.4013020992 	 1.4010688067 	 1.4015353917 	 0.1019301400 	 0.3191743600
1.4008355141 	 1.4006021619 	 1.4010688663 	 0.1019325900 	 0.3192927600
1.4003688097 	 1.4001355171 	 1.4006021023 	 0.1019350300 	 0.3194110000
1.3999022245 	 1.3996689319 	 1.4001355171 	 0.1019374700 	 0.3195289900
1.3994356394 	 1.3992023468 	 1.3996689320 	 0.1019399000 	 0.3196468100
1.3989690542 	 1.3987357020 	 1.3992024063 	 0.1019423300 	 0.3197644500
1.3985023499 	 1.3982690573 	 1.3987356425 	 0.1019447600 	 0.3198819200
1.3980357647 	 1.3978024721 	 1.3982690573 	 0.1019471800 	 0.3199992000
1.3975691795 	 1.3973358274 	 1.3978025317 	 0.1019611600 	 0.3200948200
1.3971024752 	 1.3968691826 	 1.3973357678 	 0.1020080000 	 0.3201292800
1.3966358900 	 1.3964025378 	 1.3968692422 	 0.1020761600 	 0.3201240500
1.3961691856 	 1.3959359527 	 1.3964024186 	 0.1021443400 	 0.3201188200
1.3957027197 	 1.3954693675 	 1.3959360719 	 0.1022124800 	 0.3201135900
1.3952360153 	 1.3950027228 	 1.3954693079 	 0.1022806200 	 0.3201083700
1.3947694302 	 1.3945361376 	 1.3950027228 	 0.1023487200 	 0.3201031400
1.3943028450 	 1.3940694928 	 1.3945361972 	 0.1024168100 	 0.3200979200
1.3938361406 	 1.3936028481 	 1.3940694332 	 0.1024849100 	 0.3200927000
1.3933695555 	 1.3931362629 	 1.3936028481 	 0.1025529700 	 0.3200874800
1.3929029703 	 1.3926696777 	 1.3931362628 	 0.1026210300 	 0.3200822600
1.3924363852 	 1.3922030330 	 1.3926697374 	 0.1028204100 	 0.3200151200
1.3919696808 	 1.3917364478 	 1.3922029138 	 0.1032264600 	 0.3198505500
1.3915032148 	 1.3912698626 	 1.3917365670 	 0.1037072700 	 0.3196507100
1.3910365105 	 1.3908032179 	 1.3912698031 	 0.1041880700 	 0.3194508700
1.3905699253 	 1.3903366327 	 1.3908032179 	 0.1046684100 	 0.3192512200
1.3901033401 	 1.3898699880 	 1.3903366923 	 0.1051483000 	 0.3190517600
1.3896366358 	 1.3894033432 	 1.3898699284 	 0.1056279600 	 0.3188524000
1.3891700506 	 1.3889366985 	 1.3894034027 	 0.1061071200 	 0.3186532400
1.3887033463 	 1.3884701133 	 1.3889365793 	 0.1065859500 	 0.3184542200
1.3882368803 	 1.3880035281 	 1.3884702325 	 0.1070642800 	 0.3182554000
1.3877701759 	 1.3875369429 	 1.3880034088 	 0.1075426200 	 0.3180565900
1.3873037100 	 1.3870703578 	 1.3875370622 	 0.1078119700 	 0.3178707100
1.3868370056 	 1.3866037131 	 1.3870702982 	 0.1078544200 	 0.3176985300
1.3863704205 	 1.3861371279 	 1.3866037131 	 0.1078788300 	 0.3175274500
1.3859038353 	 1.3856705427 	 1.3861371279 	 0.1079032400 	 0.3173563700
1.3854372501 	 1.3852039576 	 1.3856705427 	 0.1079276600 	 0.3171852500
1.3849706650 	 1.3847373128 	 1.3852040172 	 0.1079520900 	 0.3170140500
1.3845039606 	 1.3842707276 	 1.3847371935 	 0.1079765300 	 0.3168427800
1.3840374947 	 1.3838041425 	 1.3842708469 	 0.1080009500 	 0.3166715900
1.3835707903 	 1.3833374977 	 1.3838040829 	 0.1080254000 	 0.3165002700
1.3831042051 	 1.3828708530 	 1.3833375572 	 0.1080498400 	 0.3163289800
1.3826375008 	 1.3824042678 	 1.3828707338 	 0.1080975100 	 0.3161497900
1.3821710348 	 1.3819376826 	 1.3824043870 	 0.1082584300 	 0.3159322900
1.3817043304 	 1.3814710974 	 1.3819375633 	 0.1085099500 	 0.3156840000
1.3812378645 	 1.3810045123 	 1.3814712167 	 0.1087613000 	 0.3154358800
1.3807711601 	 1.3805378675 	 1.3810044527 	 0.1090128700 	 0.3151875500
1.3803045750 	 1.3800712824 	 1.3805378676 	 0.1092643400 	 0.3149393100
1.3798379898 	 1.3796046972 	 1.3800712824 	 0.1095157700 	 0.3146911200
1.3793714046 	 1.3791381120 	 1.3796046972 	 0.1097672700 	 0.3144428500
1.3789048195 	 1.3786715269 	 1.3791381121 	 0.1100187500 	 0.3141946000
1.3784382343 	 1.3782049417 	 1.3786715269 	 0.1102702800 	 0.3139463000
1.3779716492 	 1.3777382970 	 1.3782050014 	 0.1105219000 	 0.3136979200
1.3775049448 	 1.3772717118 	 1.3777381777 	 0.1106377200 	 0.3135508600
1.3770384789 	 1.3768051267 	 1.3772718311 	 0.1104750900 	 0.3136116000
1.3765717745 	 1.3763384819 	 1.3768050671 	 0.1101698600 	 0.3137787300
1.3761051893 	 1.3758718968 	 1.3763384818 	 0.1098646100 	 0.3139458600
1.3756386042 	 1.3754053116 	 1.3758718968 	 0.1095592500 	 0.3141130600
1.3751720190 	 1.3749386668 	 1.3754053712 	 0.1092539300 	 0.3142802300
1.3747053146 	 1.3744720817 	 1.3749385476 	 0.1089485600 	 0.3144474300
1.3742388487 	 1.3740055561 	 1.3744721413 	 0.1086431900 	 0.3146146300
1.3737722635 	 1.3735389709 	 1.3740055561 	 0.1083376800 	 0.3147819100
1.3733056784 	 1.3730723262 	 1.3735390306 	 0.1080321200 	 0.3149492100
1.3728389740 	 1.3726057410 	 1.3730722070 	 0.1077264200 	 0.3151166000
1.3723725080 	 1.3721391559 	 1.3726058602 	 0.1078090200 	 0.3150788800
1.3719058037 	 1.3716725707 	 1.3721390367 	 0.1083950200 	 0.3147752700
1.3714393377 	 1.3712059856 	 1.3716726899 	 0.1090943700 	 0.3144117900
1.3709726334 	 1.3707394004 	 1.3712058664 	 0.1097933500 	 0.3140485000
1.3705061674 	 1.3702728152 	 1.3707395196 	 0.1104912900 	 0.3136857500
1.3700394630 	 1.3698062301 	 1.3702726960 	 0.1111889100 	 0.3133231600
1.3695729971 	 1.3693396449 	 1.3698063493 	 0.1118854900 	 0.3129611200
1.3691062927 	 1.3688730598 	 1.3693395257 	 0.1125818000 	 0.3125992100
1.3686398268 	 1.3684064746 	 1.3688731790 	 0.1132772000 	 0.3122377900
1.3681731224 	 1.3679398895 	 1.3684063554 	 0.1139720400 	 0.3118766500
1.3677066565 	 1.3674733043 	 1.3679400087 	 0.1146436700 	 0.3115337300
1.3672399521 	 1.3670067191 	 1.3674731851 	 0.1149314000 	 0.3114981400
1.3667734861 	 1.3665401340 	 1.3670068383 	 0.1148554300 	 0.3117535500
1.3663067818 	 1.3660735488 	 1.3665400148 	 0.1147794900 	 0.3120088800
1.3658403158 	 1.3656069637 	 1.3660736680 	 0.1147036500 	 0.3122638700
1.3653736115 	 1.3651403785 	 1.3656068445 	 0.1146277900 	 0.3125189200
1.3649071455 	 1.3646737933 	 1.3651404977 	 0.1145519800 	 0.3127737800
1.3644404411 	 1.3642072082 	 1.3646736741 	 0.1144761900 	 0.3130286100
1.3639739752 	 1.3637406230 	 1.3642073274 	 0.1144005000 	 0.3132830900
1.3635072708 	 1.3632740379 	 1.3637405038 	 0.1143248000 	 0.3135375800
1.3630408049 	 1.3628074527 	 1.3632741571 	 0.1142491600 	 0.3137919000
1.3625741005 	 1.3623408675 	 1.3628073335 	 0.1142107700 	 0.3139508500
1.3621076345 	 1.3618742824 	 1.3623409867 	 0.1142818400 	 0.3138296000
1.3616409302 	 1.3614076972 	 1.3618741632 	 0.1144253000 	 0.3135230800
1.3611744642 	 1.3609411121 	 1.3614078164 	 0.1145688000 	 0.3132164900
1.3607077599 	 1.3604745269 	 1.3609409929 	 0.1147124900 	 0.3129095100
1.3602412939 	 1.3600079417 	 1.3604746461 	 0.1148562000 	 0.3126024600
1.3597745895 	 1.3595413565 	 1.3600078224 	 0.1150000500 	 0.3122951500
1.3593081236 	 1.3590747714 	 1.3595414758 	 0.1151439800 	 0.3119876400
1.3588414192 	 1.3586081862 	 1.3590746521 	 0.1152881400 	 0.3116796500
1.3583749533 	 1.3581416011 	 1.3586083055 	 0.1154322900 	 0.3113716600
1.3579082489 	 1.3576750159 	 1.3581414818 	 0.1155766200 	 0.3110633000
1.3574417830 	 1.3572084308 	 1.3576751352 	 0.1156874700 	 0.3109143300
1.3569750786 	 1.3567418456 	 1.3572083116 	 0.1157445900 	 0.3110209200
1.3565086126 	 1.3562752604 	 1.3567419648 	 0.1157813900 	 0.3112231200
1.3560419083 	 1.3558086753 	 1.3562751413 	 0.1158181300 	 0.3114249900
1.3555754423 	 1.3553421498 	 1.3558087348 	 0.1158547800 	 0.3116263200
1.3551088572 	 1.3548756242 	 1.3553420902 	 0.1158913600 	 0.3118272700
1.3546423912 	 1.3544090390 	 1.3548757434 	 0.1159278500 	 0.3120277400
1.3541756868 	 1.3539424539 	 1.3544089197 	 0.1159642700 	 0.3122278700
1.3537092209 	 1.3534758687 	 1.3539425731 	 0.1160005900 	 0.3124274000
1.3532425165 	 1.3530092836 	 1.3534757495 	 0.1160368700 	 0.3126266900
1.3527760506 	 1.3525427580 	 1.3530093432 	 0.1160730600 	 0.3128255300
1.3523094654 	 1.3520761728 	 1.3525427580 	 0.1162716500 	 0.3128256800
1.3518428802 	 1.3516095877 	 1.3520761727 	 0.1166497300 	 0.3126066800
1.3513762951 	 1.3511430025 	 1.3516095877 	 0.1170439500 	 0.3123677800
1.3509097099 	 1.3506764173 	 1.3511430024 	 0.1174378100 	 0.3121291100
1.3504431248 	 1.3502098322 	 1.3506764174 	 0.1178315200 	 0.3118905200
1.3499765396 	 1.3497433066 	 1.3502097725 	 0.1182250600 	 0.3116520400
1.3495100737 	 1.3492767215 	 1.3497434259 	 0.1186182800 	 0.3114137500
1.3490433693 	 1.3488101363 	 1.3492766023 	 0.1190114800 	 0.3111754700
