# Wavelength (um) 	 Transit depth
0.2000200020 	 0.0144495325
0.2000600180 	 0.0144494363
0.2001000500 	 0.0144493550
0.2001400981 	 0.0144492625
0.2001801622 	 0.0144491826
0.2002202423 	 0.0144490945
0.2002603384 	 0.0144489956
0.2003004507 	 0.0144489219
0.2003405790 	 0.0144488347
0.2003807234 	 0.0144487431
0.2004208839 	 0.0144486554
0.2004610604 	 0.0144485522
0.2005012531 	 0.0144484706
0.2005414619 	 0.0144483902
0.2005816869 	 0.0144482969
0.2006219280 	 0.0144482152
0.2006621852 	 0.0144481156
0.2007024586 	 0.0144480535
0.2007427482 	 0.0144479401
0.2007830539 	 0.0144478591
0.2008233758 	 0.0144477619
0.2008637140 	 0.0144476787
0.2009040683 	 0.0144476083
0.2009444389 	 0.0144475008
0.2009848257 	 0.0144474055
0.2010252287 	 0.0144473404
0.2010656479 	 0.0144472384
0.2011060835 	 0.0144471560
0.2011465353 	 0.0144470759
0.2011870033 	 0.0144469692
0.2012274877 	 0.0144468804
0.2012679883 	 0.0144467973
0.2013085053 	 0.0144467141
0.2013490386 	 0.0144466292
0.2013895882 	 0.0144465300
0.2014301541 	 0.0144464390
0.2014707364 	 0.0144463745
0.2015113350 	 0.0144462691
0.2015519500 	 0.0144461842
0.2015925814 	 0.0144461017
0.2016332292 	 0.0144460070
0.2016738933 	 0.0144459054
0.2017145739 	 0.0144458242
0.2017552709 	 0.0144457464
0.2017959843 	 0.0144456585
0.2018367141 	 0.0144455656
0.2018774604 	 0.0144454740
0.2019182231 	 0.0144453929
0.2019590023 	 0.0144452954
0.2019997980 	 0.0144452073
0.2020406102 	 0.0144451220
0.2020814388 	 0.0144450393
0.2021222840 	 0.0144449427
0.2021631457 	 0.0144448652
0.2022040239 	 0.0144447731
0.2022449186 	 0.0144446803
0.2022858299 	 0.0144445894
0.2023267577 	 0.0144445109
0.2023677021 	 0.0144444057
0.2024086631 	 0.0144443348
0.2024496407 	 0.0144442338
0.2024906348 	 0.0144441435
0.2025316456 	 0.0144440465
0.2025726730 	 0.0144439714
0.2026137169 	 0.0144438913
0.2026547776 	 0.0144437731
0.2026958549 	 0.0144436972
0.2027369488 	 0.0144436097
0.2027780594 	 0.0144435205
0.2028191867 	 0.0144434374
0.2028603307 	 0.0144433523
0.2029014913 	 0.0144432624
0.2029426687 	 0.0144431791
0.2029838628 	 0.0144430816
0.2030250736 	 0.0144429898
0.2030663011 	 0.0144429080
0.2031075455 	 0.0144428179
0.2031488065 	 0.0144427241
0.2031900843 	 0.0144426360
0.2032313789 	 0.0144425467
0.2032726903 	 0.0144424593
0.2033140185 	 0.0144423736
0.2033553635 	 0.0144422856
0.2033967253 	 0.0144421838
0.2034381040 	 0.0144420912
0.2034794994 	 0.0144420243
0.2035209118 	 0.0144419187
0.2035623410 	 0.0144418406
0.2036037870 	 0.0144417502
0.2036452500 	 0.0144416590
0.2036867298 	 0.0144415762
0.2037282266 	 0.0144414722
0.2037697402 	 0.0144413977
0.2038112708 	 0.0144413143
0.2038528183 	 0.0144412220
0.2038943827 	 0.0144411255
0.2039359641 	 0.0144410267
0.2039775625 	 0.0144409423
0.2040191778 	 0.0144408492
0.2040608101 	 0.0144407725
0.2041024594 	 0.0144406751
0.2041441257 	 0.0144405856
0.2041858091 	 0.0144404942
0.2042275095 	 0.0144404123
0.2042692268 	 0.0144403242
0.2043109613 	 0.0144402361
0.2043527128 	 0.0144401464
0.2043944813 	 0.0144400580
0.2044362670 	 0.0144399742
0.2044780697 	 0.0144398763
0.2045198896 	 0.0144397938
0.2045617265 	 0.0144396995
0.2046035806 	 0.0144396105
0.2046454518 	 0.0144395225
0.2046873401 	 0.0144394383
